,order_id,order_date,customer_name,region,product,category,sales_amount,quantity,bonus
0,1,01-01-2024,Amit,Pune,Laptop,Electronics,50000,1,5000.0
1,2,02-01-2024,Neha,Mumbai,Mobile,Electronics,20000,2,2000.0
2,3,03-01-2024,Raj,Delhi,Tablet,Electronics,15000,1,1500.0
3,4,04-01-2024,Priya,Pune,Chair,Furniture,7000,3,700.0
4,5,05-01-2024,Karan,Mumbai,Desk,Furniture,12000,1,1200.0
5,6,06-01-2024,Sneha,Delhi,Laptop,Electronics,55000,1,5500.0
6,7,07-01-2024,Amit,Pune,Mobile,Electronics,18000,1,1800.0
7,8,08-01-2024,Neha,Mumbai,Chair,Furniture,9000,2,900.0
8,9,09-01-2024,Raj,Delhi,Desk,Furniture,15000,1,1500.0
9,10,10-01-2024,Priya,Pune,Laptop,Electronics,60000,1,6000.0
